time,tweets
2019-04-30 14:23:50,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:23:43,"A no deal #Brexit cannot happen, it would be far too costly economically &amp; politically. So, with that off the table… https://t.co/8Zwp1xiths"
2019-04-30 14:23:42,#Brexit ... Here we go again... 🙄 https://t.co/0Fq9IhLsbS
2019-04-30 14:23:42,"RT @AgencEurope: Only 5% of Europeans know the date of the #EuropeanElections, according to @EurobarometerEU. Our caricaturist's take! 

#P…"
2019-04-30 14:23:42,"RT @ratcatcher2: @ohboywhatashot @RodriguezSusane 🇮🇪🇮🇪
NO, not ""what is next?""
""WHO or WHERE is next?"" is the Question!!!
NOT🇬🇧 #UK that #B…"
2019-04-30 14:23:40,"RT @EUflagmafia: The EU flag mafia logo is on there. Proud to stand with @snb19692 fighting #brexit

brexit will fail, of that there is no…"
2019-04-30 14:23:38,"RT @ArgyleLoz: I know we can't forget #Brexit, but on Thursday it's the local elections, I want to see as many people as possible voting, i…"
2019-04-30 14:23:37,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:23:31,RT @SimonFraser00: In March #Brexit ground to a halt. It’s a bad idea that just doesn’t work. We need to move on now to tackle the real pro…
2019-04-30 14:23:28,"RT @astro_trader: EGM: We No longer feel Mrs May is right person to continue as PM to lead us forward in EU negotiations.
We ask she consid…"
2019-04-30 14:23:28,RT @KatySearle: Congratulations to ⁦@bbclaurak⁩ &amp; ⁦@BBCkatyaadler⁩ Broadcast journalist of the Year London Press Club #brexit https://t.co/…
2019-04-30 14:23:25,@impacttologist @BBCPolitics @damocrat You'r trying to destroy Democracy. Shameful for a Labour supporter. It is ab… https://t.co/zAJRBIBvqL
2019-04-30 14:23:25,RT @mrjohnnice: Who will you vote for in the EU elections? I think I've included every party.  Any others have no chance anyway #LEAVE #Rem…
2019-04-30 14:23:22,RT @_JennyMcKiernan: Anti-Brexit protesters out in force as the Sky’s ⁦@joncraig⁩ goes live on air outside the fractious Labour NEC meeting…
2019-04-30 14:23:20,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:23:18,"If #Trump declared #NigelFarage PM of #Brexit #UK would he be our leader? Maybe, because money talks… https://t.co/J6zavBiekr"
2019-04-30 14:23:18,"@ohboywhatashot @RodriguezSusane 🇮🇪🇮🇪
NO, not ""what is next?""
""WHO or WHERE is next?"" is the Question!!!
NOT🇬🇧 #UK… https://t.co/qxzET3e4XF"
2019-04-30 14:23:12,Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers: : Twitter… https://t.co/g78KNbtxNC
2019-04-30 14:23:11,RT @SimonFraser00: In March #Brexit ground to a halt. It’s a bad idea that just doesn’t work. We need to move on now to tackle the real pro…
2019-04-30 14:23:09,"RT @Reuters: In the small fishing town of Thyboron, Denmark, fishermen worry the British waters they have become dependent on will be out o…"
2019-04-30 14:23:02,"RT @Lordbrexit: Why is anybody wanting Brexit voting labour, they have betrayed Brexit more that the Tories #brexit you have to have a scre…"
2019-04-30 14:23:00,RT @larsloekke: Good talk today with @MichelBarnier on #Brexit. Important to keep safeguarding EU27 unity. We share hope that cross-party t…
2019-04-30 14:22:59,#Brexit can’t wait to leave the EU then we don’t have to see this tosser in the background ever again https://t.co/k6IAz7M5KA
2019-04-30 14:22:58,"RT @BBCPolitics: ""Most of my colleagues on the NEC have been inundated with thousands of emails"" on #Brexit, says Labour's Deputy Leader To…"
2019-04-30 14:22:54,RT @MStarSimonHodge: #brexit at the @MorningstarInc #micuk Prof Simon Hix @simonjhix of the LSE runs through the scenarios that may play ou…
2019-04-30 14:22:48,RT @joannaccherry: Good to see @theSNP are seen as the most anti #Brexit party. This fits with my experience in Scotland &amp; England where pe…
2019-04-30 14:22:45,RT @iainjwatson: Ahead of the ⁦@UKLabour⁩ NEC dep leader ⁦@tom_watson⁩ tells me he has been 'inundated' with emails from members saying the…
2019-04-30 14:22:44,A group of MPs is set to investigate how to recruit and retain more women in construction in a bid to help meet the… https://t.co/VhNGlWxG02
2019-04-30 14:22:43,"@Peston @FisherAndrew79 @jeremycorbyn Let's face it Corbyn, Milne and McCluskey are divisive figures .... When you… https://t.co/VZXgIp3p2R"
2019-04-30 14:22:41,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:22:40,"RT @Brexiteer30: Who will you be voting for in the EU Elections?

**Please retweet after voting **

#Conservative #Labour #LibDem #TheBrexi…"
2019-04-30 14:22:38,"RT @CarolineLucas: State of Nation report: Social mobility in UK 'virtually stagnant' 

Terrible that #Brexit is sucking attention away fro…"
2019-04-30 14:22:36,"RT @AlasdairLeodhas: Just on the phone to my mum, who up until recently would have bled Tory blue if she got a cut, has this to say on #Bre…"
2019-04-30 14:22:35,RT @All4Choice: Stephen Maginn from @GreenPartyNI talking about the sham of the #Brexit referendum based on lies @fiona_ferg takes about th…
2019-04-30 14:22:33,@BrexitHome Corbyn's 'united' Labour Party MPs are beginning to show how disunited they are now that the #brexit sp… https://t.co/Cr7MOBi4BE
2019-04-30 14:22:30,RT @Dentons: We are pleased to have launched a Global #Brexit Board as part of our commitment to provide clients with the most up to date a…
2019-04-30 14:22:29,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:22:22,"RT @MichelBarnier: Very good meetings today in Copenhagen with PM @larsloekke, FM @anderssamuelsen and @folketinget. 
 
I remain convinced…"
2019-04-30 14:22:19,The Tories are feckin useless but Labour are a different class 🙈 my god these two parties are doomed 😂😂 #Brexit
2019-04-30 14:22:12,"RT @BBCPolitics: “A vote for Labour is a vote for #Brexit” 

Liberal Democrat Deputy Leader Jo Swinson talks to Mishal Husain on #Marr abou…"
2019-04-30 14:22:09,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:22:07,"Kudos to the Govenment, not normally a fan of @FineGael but both Taoisigh &amp; the Civil Servants seem to have done we… https://t.co/KiLleSGOlk"
2019-04-30 14:22:05,#London: City Office Market Q1 2019 #UK #BrexitMeansBrexit #RealEstate #Housing #Property #Residential #HousePrices… https://t.co/5B3gIk2ys7
2019-04-30 14:22:01,"OMG I'm so tired about Europe, we need to leave nowwww #brexit #NoDeal 🇬🇧"
2019-04-30 14:22:00,Doubts about #Brexit scenario and future relationship with other #EU countries is also likely to have led some Brit… https://t.co/eyfLMIfTFO
2019-04-30 14:21:56,"RT @LSRPlaid: OK - so a deal has to be ‘legitimized’ says @MickAntoniw1  outside Labour NEC

How?

Referendum? ‘No’
General election? ‘No’…"
2019-04-30 14:21:55,"RT @BelgiuminUK: ❓ If you have questions on the EU settlement scheme after #Brexit, don't forget to have a look at the video of the latest…"
2019-04-30 14:21:53,RT @Odbe34: Tinge now actively splitting the Remain Vote - what chumps! #Brexit https://t.co/iBr4cjf5LC
2019-04-30 14:21:47,RT @KatySearle: Congratulations to ⁦@bbclaurak⁩ &amp; ⁦@BBCkatyaadler⁩ Broadcast journalist of the Year London Press Club #brexit https://t.co/…
2019-04-30 14:21:45,RT @AnnaMcMorrin: Proud to be one of over 100 MPs to ask that ⁦@UKLabour⁩ unequivocally and clearly backs a confirmatory vote on #Brexit to…
2019-04-30 14:21:41,"RT @BelgiuminUK: ❓ If you have questions on the EU settlement scheme after #Brexit, don't forget to have a look at the video of the latest…"
2019-04-30 14:21:39,RT @Brexit_Support: BBC to be fined for #Brexit biased https://t.co/WS0U1xPkSN
2019-04-30 14:21:27,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:21:26,@brexitparty_uk out in Caerphilly #turdwatch with @Nigel_Farage and his bottomless promises. While his campaign tea… https://t.co/UF5BxotiDl
2019-04-30 14:21:25,No-one seems to have properly picked up on the argument that the Good Friday Agreement locks the UK into EU.… https://t.co/x9zrSvoYc7
2019-04-30 14:21:16,"RT @BenJamminWalker: *POLL* Which party will you vote for in next months #EuropeanElections? 🗳

Retweet for a Larger Sample!

#Brexit #Peop…"
2019-04-30 14:21:15,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:21:15,"RT @ArgyleLoz: I know we can't forget #Brexit, but on Thursday it's the local elections, I want to see as many people as possible voting, i…"
2019-04-30 14:21:11,"RT @BarryAnderson_: It's okay everybody. Cowdenbeath v Crawley Town is going to save the UK.
#Brexit https://t.co/H8eqCFTWOc"
2019-04-30 14:21:09,“Labour activists and members want to have a say on whatever comes out of the sausage machine of Westminster around… https://t.co/kX0VgdYZBt
2019-04-30 14:21:07,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:21:07,RT @Brexit_Support: BBC to be fined for #Brexit biased https://t.co/WS0U1xPkSN
2019-04-30 14:21:01,"#Brexit and #DataProtection: What's next?

https://t.co/GtZPPXGQkr

#GDPR #privacy #DataPrivacy #CyberSecurity https://t.co/XVDZvvczUB"
2019-04-30 14:20:59,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:20:54,RT @SimonFraser00: In March #Brexit ground to a halt. It’s a bad idea that just doesn’t work. We need to move on now to tackle the real pro…
2019-04-30 14:20:51,RT @Edin_monitor: @scotlandinunion ...that reads as: Westminster is going to harm #Scotland with the #Brexit that Scotland never voted for.
2019-04-30 14:20:50,"@UKLabour Worth contemplating; Aneurin Bevan #Labour MP for Ebbw Vale, Minister of Health, spearheaded the establis… https://t.co/DzmtlC4uiy"
2019-04-30 14:20:49,"RT @BarryAnderson_: It's okay everybody. Cowdenbeath v Crawley Town is going to save the UK.
#Brexit https://t.co/H8eqCFTWOc"
2019-04-30 14:20:44,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:20:35,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:20:34,Lisa Nandy a #woman you an respect her views on #Brexit https://t.co/wWq05mjNjG
2019-04-30 14:20:30,"It's okay everybody. Cowdenbeath v Crawley Town is going to save the UK.
#Brexit https://t.co/H8eqCFTWOc"
2019-04-30 14:20:28,RT @lawrsuk: About to start our '#Brexit and the Latin American women' informative event with @lawyersyed from @ITNSolicitors https://t.co/…
2019-04-30 14:20:26,RT @blockchainrptr: #Brexit News: Labour Party Demands Compromise https://t.co/Qo3enREUWj
2019-04-30 14:20:25,RT @ThalyOne: If you live in any of these towns / cities then you may see #TommyRobinson on the campaign trail in the next 4 weeks 👊 Spread…
2019-04-30 14:20:24,RT @thomasbrake: A #PeoplesVote is the only way to break the deadlock &amp; finally settle #Brexit so that we can unite our country again. @Lib…
2019-04-30 14:20:21,"RT @BBCPolitics: Lisa Nandy MP says Labour cannot give this #Brexit message to Leave-voting towns like hers:  

“We are now going to give y…"
2019-04-30 14:20:19,"RT @Lordbrexit: Why is anybody wanting Brexit voting labour, they have betrayed Brexit more that the Tories #brexit you have to have a scre…"
2019-04-30 14:20:18,"RT @Kishan_Devani: RT if you think this could be a lesson worth learning for @realDonaldTrump, @Nigel_Farage &amp; the @Conservatives Crew...…"
2019-04-30 14:20:15,"RT @BBCPolitics: ""Most of my colleagues on the NEC have been inundated with thousands of emails"" on #Brexit, says Labour's Deputy Leader To…"
2019-04-30 14:20:13,RT @D_Raval: Tories have wasted over 2 years NOT developing or testing the technology to enable their fantasy smart border after #Brexit bu…
2019-04-30 14:20:07,"RT @TonyTassell: a reminder that with the UK planning to charge EU students at universities after a #brexit, the Dutch are very well placed…"
2019-04-30 14:20:06,RT @joelymack: Sick of seeing from Corbynistas that 'a vote against labour is a vote for more Tory austerity'. Fuck off - if you'd fully co…
2019-04-30 14:20:04,"RT @BBCPolitics: ""Most of my colleagues on the NEC have been inundated with thousands of emails"" on #Brexit, says Labour's Deputy Leader To…"
2019-04-30 14:20:00,"RT @MollyMEP: ➡️Clear on #Brexit
➡️Strong on climate
➡️Fair on the economy

Delighted to launch our #EuropeanElections2019 campaign in Bris…"
2019-04-30 14:19:58,RT @Haggis_UK: Phil Wilson - It would be a real mistake to implement #brexit without going back to the people.. a confirmatory referendum i…
2019-04-30 14:19:48,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:19:42,"❓ If you have questions on the EU settlement scheme after #Brexit, don't forget to have a look at the video of the… https://t.co/BusSPanZFX"
2019-04-30 14:19:41,RT @ForBritainParty: Remainers say we didn't know what we were voting for - Anne Marie Waters responds with a passionate speech in Swansea!…
2019-04-30 14:19:40,RT @Haggis_UK: Alastair Campbell - It's time for Labour to lead on #Brexit...but people look at Corbyn &amp; think he's not a leader. The promi…
2019-04-30 14:19:38,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
2019-04-30 14:19:35,"RT @Reuters: In the small fishing town of Thyboron, Denmark, fishermen worry the British waters they have become dependent on will be out o…"
2019-04-30 14:19:32,@KateHoeyMP Kate you could dye your hair pink and green and you would still get respect the way you have stayed tru… https://t.co/MOGb5KDey8
2019-04-30 14:19:28,RT @Brexit_Support: BBC to be fined for #Brexit biased https://t.co/WS0U1xPkSN
2019-04-30 14:19:27,RT @KatySearle: Congratulations to ⁦@bbclaurak⁩ &amp; ⁦@BBCkatyaadler⁩ Broadcast journalist of the Year London Press Club #brexit https://t.co/…
2019-04-30 14:19:21,"One month on from #Brexit Day (original version), COUNTERFICTION by @timaldrich read by @timlarkfield at o... https://t.co/2nXUCucaOW"
2019-04-30 14:19:20,RT @georgegalloway: An attempted military coup is underway in #Venezuela right now and the President of the #EuropeanParliament has welcome…
